'ROOM','WORKSTATION','CONTAINER_NR'
ULMER, ulmer.testfx, 0
ET-PDTL, et-pdtl-ws101.testfx, 1
ET-PDTL, et-pdtl-ws102.testfx, 2
ET-PDTL, et-pdtl-ws103.testfx, 3
ET-PDTL, et-pdtl-ws104.testfx, 4
ET-PDTL, et-pdtl-ws105.testfx, 5
ET-PDTL, et-pdtl-ws106.testfx, 6
ET-PDTL, et-pdtl-ws107.testfx, 7
ET-PDTL, et-pdtl-ws108.testfx, 8
ET-PDTL, et-pdtl-ws109.testfx, 9
ET-PDTL, et-pdtl-ws110.testfx, 10
ET-PDTL, et-pdtl-ws111.testfx, 11
ET-PDTL, et-pdtl-ws112.testfx, 12
ET-PDTL, et-pdtl-ws113.testfx, 13
ET-PDTL, et-pdtl-ws114.testfx, 14
ET-PDTL, et-pdtl-ws115.testfx, 15
ET-PDTL, et-pdtl-ws116.testfx, 16
AL-EDV1, al-edv1-ws01.testfx,  18
AL-EDV1, al-edv1-ws02.testfx,  19
AL-EDV1, al-edv1-ws03.testfx,  20
AL-EDV1, al-edv1-ws04.testfx,  21
AL-EDV1, al-edv1-ws05.testfx,  22
AL-EDV1, al-edv1-ws06.testfx,  23
AL-EDV1, al-edv1-ws07.testfx,  24
AL-EDV1, al-edv1-ws08.testfx,  25
AL-EDV1, al-edv1-ws09.testfx,  26
AL-EDV1, al-edv1-ws10.testfx,  27
AL-EDV1, al-edv1-ws11.testfx,  28
AL-EDV1, al-edv1-ws12.testfx,  29
AL-EDV1, al-edv1-ws13.testfx,  30
AL-EDV1, al-edv1-ws14.testfx,  31
AL-EDV1, al-edv1-ws15.testfx,  32
AL-EDV1, al-edv1-ws16.testfx,  33
AL-EDV1, al-edv1-ws17.testfx,  34
AL-EDV1, al-edv1-ws18.testfx,  35
AL-EDV1, al-edv1-ws19.testfx,  36
AL-EDV1, al-edv1-ws20.testfx,  37
AL-EDV1, al-edv1-ws21.testfx,  38
AL-EDV1, al-edv1-ws22.testfx,  39
AL-EDV1, al-edv1-ws23.testfx,  40
AL-EDV1, al-edv1-ws24.testfx,  41
AL-EDV1, al-edv1-ws25.testfx,  42
AL-EDV1, al-edv1-ws26.testfx,  43
AL-EDV1, al-edv1-ws27.testfx,  44
AL-EDV1, al-edv1-ws28.testfx,  45
AL-EDV1, al-edv1-ws29.testfx,  46
AL-EDV1, al-edv1-ws30.testfx,  47
AL-EDV1, al-edv1-ws31.testfx,  48
AL-EDV1, al-edv1-ws32.testfx,  49
AL-EDV1, al-edv1-ws33.testfx,  50
TEST_ROOM, test_room.ws101.testfx, 100
TEST_ROOM, test_room.ws102.testfx, 101

